question,True/False,ActualAnswer,Language
Wurde Monument to Family im Jahr 1987 fertiggestellt?,True,1987,DE
"Wurde Garegin Nzhdeh monument, Kapan von Gevorg Gevorgyan erstellt?",True,Gevorg Gevorgyan,DE
"Wurde Garegin Nzhdeh monument, Kapan im Jahr 2001 fertiggestellt?",True,2001,DE
Wurde Arno Babajanyan Monument von David Bejanian erstellt?,True,David Bejanian,DE
Wurde Arno Babajanyan Monument im Jahr 2003 fertiggestellt?,True,2003,DE
Wurde Monument of Sos Sargsyan von Jules Coutan erstellt?,False,David Minasyan,DE
Wurde Monument of Sos Sargsyan im Jahr 2014 fertiggestellt?,True,2014,DE
Wurde Bust of Ghazaros Aghayan von Matthew Noble erstellt?,False,Yerem Vardanyan,DE
Wurde Bust of Ghazaros Aghayan im Jahr 1618 fertiggestellt?,False,1955,DE
Wurde Bust to Alexander Myasnikyan von Grigor Aharonjan erstellt?,True,Grigor Aharonjan,DE
Wurde Bust to Alexander Myasnikyan im Jahr 1959 fertiggestellt?,True,1959,DE
Wurde Bust of Anton Chekhov in Yerevan von Dani Karavan erstellt?,False,Grigor Aharonjan,DE
Wurde Bust of Anton Chekhov in Yerevan im Jahr 1955 fertiggestellt?,False,1956,DE
"Wurde Statue of David Anhaght, Yerevan von Llucià Oslé Sáenz de Medrano erstellt?",False,Eduard Safaryan,DE
"Wurde Statue of David Anhaght, Yerevan im Jahr 1985 fertiggestellt?",True,1985,DE
Wurde Monument to Suren Spandaryan von Tadevos Gevorgyan erstellt?,True,Tadevos Gevorgyan,DE
Wurde Monument to Suren Spandaryan im Jahr 1990 fertiggestellt?,True,1990,DE
Wurde Andranik Ozanyan Monument von Gerhard Schultze-Seehof erstellt?,False,Tadevos Gevorgyan,DE
Wurde Andranik Ozanyan Monument im Jahr 0886 fertiggestellt?,False,1989,DE
Wurde Anoush and Saro von Levon Tokmajyan erstellt?,True,Levon Tokmajyan,DE
Wurde Anoush and Saro im Jahr 2004 fertiggestellt?,False,1973,DE
Wurde Monument of Argishti I von Levon Tokmajyan erstellt?,True,Levon Tokmajyan,DE
Wurde Monument of Argishti I im Jahr 2002 fertiggestellt?,True,2002,DE
Wurde Monument to Gevork Chavush von Levon Tokmajyan erstellt?,True,Levon Tokmajyan,DE
Wurde Monument to Gevork Chavush im Jahr 2007 fertiggestellt?,True,2007,DE
Wurde Tigranes the Great statue von Levon Tokmajyan erstellt?,True,Levon Tokmajyan,DE
Wurde Tigranes the Great statue im Jahr 0122 fertiggestellt?,False,2004,DE
"Wurde Bust of Ruben Sevak, Yerevan von Levon Tokmajyan erstellt?",True,Levon Tokmajyan,DE
"Wurde Bust of Ruben Sevak, Yerevan im Jahr 1995 fertiggestellt?",True,1995,DE
Wurde Alarm von Dušan Jurkovič erstellt?,False,Levon Tokmajyan,DE
Wurde Alarm im Jahr 1988 fertiggestellt?,False,2011,DE
"Wurde Vahan Tekeyan Monument, Karbi von Levon Tokmajyan erstellt?",True,Levon Tokmajyan,DE
"Wurde Vahan Tekeyan Monument, Karbi im Jahr 1991 fertiggestellt?",True,1991,DE
Wurde Eternal Armenia von Levon Tokmajyan erstellt?,True,Levon Tokmajyan,DE
Wurde Eternal Armenia im Jahr 1948 fertiggestellt?,False,2002,DE
Wurde Monument of Hakob Meghapart von Dani Karavan erstellt?,False,Khachatur Iskandaryan,DE
Wurde Monument of Hakob Meghapart im Jahr 2007 fertiggestellt?,False,1987,DE
Wurde Statue of Hayk the Great von Karlen Nurijanyan erstellt?,True,Karlen Nurijanyan,DE
Wurde Statue of Hayk the Great im Jahr 1971 fertiggestellt?,False,1970,DE
Wurde Vahagn choking the dragons statue von Karlen Nurijanyan erstellt?,True,Karlen Nurijanyan,DE
Wurde Vahagn choking the dragons statue im Jahr 1969 fertiggestellt?,True,1969,DE
Wurde Armenian hajduks monument von Yuri Minasyan erstellt?,True,Yuri Minasyan,DE
Wurde Armenian hajduks monument im Jahr 1989 fertiggestellt?,True,1989,DE
Wurde Derenik Demirchyan memorial von Razmik Alaverdyan erstellt?,True,Razmik Alaverdyan,DE
Wurde Derenik Demirchyan memorial im Jahr 1974 fertiggestellt?,False,1977,DE
Wurde Castrén-Denkmal von William Brodie erstellt?,False,Alpo Sailo,DE
Wurde Castrén-Denkmal im Jahr 1898 fertiggestellt?,False,1921,DE
Wurde Monument of 50 years of Soviet Armenia von Arthur Tarkhanyan erstellt?,True,Arthur Tarkhanyan,DE
Wurde Monument of 50 years of Soviet Armenia im Jahr 1745 fertiggestellt?,False,1970,DE
Wurde Memorial to Nordic Volunteers and Fallen von Lykurgos von Athen erstellt?,False,Anders Bundgaard,DE
Wurde Memorial to Nordic Volunteers and Fallen im Jahr 1920 fertiggestellt?,True,1920,DE
"Wurde Monument to Méndez Núñez, Vigo von Agustí Querol Subirats erstellt?",True,Agustí Querol Subirats,DE
"Wurde Monument to Méndez Núñez, Vigo im Jahr 1890 fertiggestellt?",True,1890,DE
Wurde Scott Memorial von Dante Parini erstellt?,False,Albert Hodge,DE
Wurde Scott Memorial im Jahr 1775 fertiggestellt?,False,1913,DE
Wurde Monument to killed solider von Martin Rajniš erstellt?,False,Ara Sargsian,DE
Wurde Monument to killed solider im Jahr 1839 fertiggestellt?,False,1968,DE
Wurde Dedicated to the heroes of the May Uprising von Ara Sargsian erstellt?,True,Ara Sargsian,DE
Wurde Dedicated to the heroes of the May Uprising im Jahr 1978 fertiggestellt?,False,1931,DE
"Wurde May Uprising Monument, Gyumri von Sargis Baghdasaryan erstellt?",True,Sargis Baghdasaryan,DE
"Wurde May Uprising Monument, Gyumri im Jahr 1804 fertiggestellt?",False,1970,DE
Wurde Atatürk and Şerife Bacı Monument von Tankut Öktem erstellt?,True,Tankut Öktem,DE
Wurde Atatürk and Şerife Bacı Monument im Jahr 1985 fertiggestellt?,False,1990,DE
Wurde Syrenka Monument in Powiśle von Galileo Emendabili erstellt?,False,Ludwika Nitschowa,DE
Wurde Syrenka Monument in Powiśle im Jahr 1853 fertiggestellt?,False,1939,DE
Wurde Impacto von Mário Cravo erstellt?,True,Mário Cravo,DE
Wurde Impacto im Jahr 1907 fertiggestellt?,False,1980,DE
Wurde Fonte da Rampa do Mercado von Mário Cravo erstellt?,True,Mário Cravo,DE
Wurde Fonte da Rampa do Mercado im Jahr 1970 fertiggestellt?,True,1970,DE
Wurde Mieczysław Pożaryski monument in Warsaw von Jan van Luijn erstellt?,False,Marian Molenda,DE
Wurde Mieczysław Pożaryski monument in Warsaw im Jahr 2019 fertiggestellt?,True,2019,DE
"Wurde Bust of Mikhail Lermontov, Kryvyi Rih von Aleksandr Vasilevitsj Vasjakin erstellt?",True,Aleksandr Vasilevitsj Vasjakin,DE
"Wurde Bust of Mikhail Lermontov, Kryvyi Rih im Jahr 1964 fertiggestellt?",True,1964,DE
Wurde Monument to Aleksandr Pushkin in Kryvyi Rih von Aleksandr Vasilevitsj Vasjakin erstellt?,True,Aleksandr Vasilevitsj Vasjakin,DE
Wurde Monument to Aleksandr Pushkin in Kryvyi Rih im Jahr 1870 fertiggestellt?,False,1983,DE
Wurde Monument to Antonio Palacios von Zygmunt Brachmański erstellt?,False,Maxín Picallo,DE
Wurde Monument to Antonio Palacios im Jahr 2009 fertiggestellt?,False,1972,DE
Wurde West Irian Liberation Monument von Mark Matwejewitsch Antokolski erstellt?,False,Edhi Sunarso,DE
Wurde West Irian Liberation Monument im Jahr 1963 fertiggestellt?,True,1963,DE
Wurde Monument to Nadzieja Charčanka von Sergei Michailowitsch Wakar erstellt?,True,Sergei Michailowitsch Wakar,DE
Wurde Monument to Nadzieja Charčanka im Jahr 1974 fertiggestellt?,True,1974,DE
Wurde Monument to John of Kronstadt von Salawat Alexandrowitsch Schtscherbakow erstellt?,True,Salawat Alexandrowitsch Schtscherbakow,DE
Wurde Monument to John of Kronstadt im Jahr 1818 fertiggestellt?,False,2019,DE
Wurde monument to Jean Bourhis von Giuliano Mozzani erstellt?,False,François Bazin,DE
Wurde monument to Jean Bourhis im Jahr -033 fertiggestellt?,False,1932,DE
Wurde Abovian Monument in Dilijan von Arscham Schahinjan erstellt?,True,Arscham Schahinjan,DE
Wurde Abovian Monument in Dilijan im Jahr 1947 fertiggestellt?,False,1976,DE
Wurde Grigor Narekatsi monument von Anton Dominik von Fernkorn erstellt?,False,David Erevantzi,DE
Wurde Grigor Narekatsi monument im Jahr 2018 fertiggestellt?,True,2018,DE
Wurde Aram Manukyan Monument von Henri Théophile Bouillon erstellt?,False,David Minasyan,DE
Wurde Aram Manukyan Monument im Jahr 2018 fertiggestellt?,True,2018,DE
Wurde Monument to the victims of Avan district of World War II von Yerem Vardanyan erstellt?,True,Yerem Vardanyan,DE
Wurde Monument to the victims of Avan district of World War II im Jahr 1976 fertiggestellt?,True,1976,DE
Wurde Esayi Nshetsi Monument von Levon Tokmajyan erstellt?,True,Levon Tokmajyan,DE
Wurde Esayi Nshetsi Monument im Jahr 1980 fertiggestellt?,True,1980,DE
Wurde Monte Melkonian monument von Levon Tokmajyan erstellt?,True,Levon Tokmajyan,DE
Wurde Monte Melkonian monument im Jahr 2017 fertiggestellt?,True,2017,DE
Wurde Monument to Armenian Gampr dog von Khachatur Iskandaryan erstellt?,False,Levon Tokmajyan,DE
Wurde Monument to Armenian Gampr dog im Jahr 2018 fertiggestellt?,True,2018,DE
Wurde Woman giving sun as gift von Lazăr Dubinovschi erstellt?,False,Karlen Nurijanyan,DE
Wurde Woman giving sun as gift im Jahr 1765 fertiggestellt?,False,1969,DE
Wurde World War II memorial in Doghs von Johann Gottfried Schadow erstellt?,False,Yuri Minasyan,DE
Wurde World War II memorial in Doghs im Jahr 1995 fertiggestellt?,False,1985,DE
Wurde Monument to August Kitzberg von Jaak Soans erstellt?,True,Jaak Soans,DE
Wurde Monument to August Kitzberg im Jahr 1949 fertiggestellt?,False,1990,DE
Wurde Monument to the victims of the 1905 revolution von Juhan Raudsepp erstellt?,True,Juhan Raudsepp,DE
Wurde Monument to the victims of the 1905 revolution im Jahr 1908 fertiggestellt?,False,1931,DE
Wurde Monument to Milada Horáková in Pankrác von Miguel Verdiguier erstellt?,False,Jan Bartoš,DE
Wurde Monument to Milada Horáková in Pankrác im Jahr 1337 fertiggestellt?,False,2009,DE
Wurde monument to Decamps von Albert-Ernest Carrier-Belleuse erstellt?,True,Albert-Ernest Carrier-Belleuse,DE
Wurde monument to Decamps im Jahr 1916 fertiggestellt?,False,1862,DE
Wurde Monument aux Grands Hommes de la Martinière von Charles Textor erstellt?,True,Charles Textor,DE
Wurde Monument aux Grands Hommes de la Martinière im Jahr 1990 fertiggestellt?,False,1911,DE
Wurde monument to Jean Bourhis von Thomas Brock erstellt?,False,François Bazin,DE
Wurde monument to Jean Bourhis im Jahr 1932 fertiggestellt?,True,1932,DE
Wurde Monument to Charles Garnier von Francesco da Sangallo erstellt?,False,Jean-Baptiste Carpeaux,DE
Wurde Monument to Charles Garnier im Jahr 1902 fertiggestellt?,True,1902,DE
Wurde monument à Napoléon et ses frères von Johannes Schilling erstellt?,False,Eugène Viollet-le-Duc,DE
Wurde monument à Napoléon et ses frères im Jahr 1864 fertiggestellt?,True,1864,DE
Wurde Mauer für den Frieden von Jean-Michel Wilmotte erstellt?,True,Jean-Michel Wilmotte,DE
Wurde Mauer für den Frieden im Jahr 2000 fertiggestellt?,True,2000,DE
Wurde Vercingétorix von Jean Dubuffet erstellt?,False,Aimé Millet,DE
Wurde Vercingétorix im Jahr 1865 fertiggestellt?,True,1865,DE
Wurde statue équestre de Jeanne d'Arc von Gyula Donáth erstellt?,False,Emmanuel Frémiet,DE
Wurde statue équestre de Jeanne d'Arc im Jahr 1962 fertiggestellt?,False,1874,DE
Wurde Denkmal Boussingault von Jules Dalou erstellt?,True,Jules Dalou,DE
Wurde Denkmal Boussingault im Jahr 1950 fertiggestellt?,False,1895,DE
Wurde La Maison Cubiste von Raymond Duchamp-Villon erstellt?,True,Raymond Duchamp-Villon,DE
Wurde La Maison Cubiste im Jahr 1912 fertiggestellt?,True,1912,DE
Wurde Monument Jacquard von Alois Mayer erstellt?,False,Paul Landowski,DE
Wurde Monument Jacquard im Jahr 1935 fertiggestellt?,False,1912,DE
Wurde equestrian statue of General Lasalle von Valdis Albergas erstellt?,False,Charles Henri Joseph Cordier,DE
Wurde equestrian statue of General Lasalle im Jahr 2017 fertiggestellt?,False,1893,DE
Wurde Old Paris von John Gutzon de la Mothe Borglum erstellt?,False,Albert Robida,DE
Wurde Old Paris im Jahr 1900 fertiggestellt?,True,1900,DE
Wurde Monument à la gloire de la cinquième armée française von Antonio Pisanello erstellt?,False,Jan und Joël Martel,DE
Wurde Monument à la gloire de la cinquième armée française im Jahr 1929 fertiggestellt?,True,1929,DE
Wurde Monument to Pope John Paul II von Surab Zereteli erstellt?,True,Surab Zereteli,DE
Wurde Monument to Pope John Paul II im Jahr 1832 fertiggestellt?,False,2006,DE
Wurde Monument dit de la Délibération de 1636 von Iwan Dmitrijewitsch Schadr erstellt?,False,Mathurin Moreau,DE
Wurde Monument dit de la Délibération de 1636 im Jahr 2012 fertiggestellt?,False,1891,DE
Wurde Monument à la gloire de l'expansion coloniale française ou à la plus grande France von George Segal erstellt?,False,Jean-Baptiste Belloc,DE
Wurde Monument à la gloire de l'expansion coloniale française ou à la plus grande France im Jahr 1953 fertiggestellt?,False,1913,DE
Wurde Marceau statue in Chartres von Joseph Simon Volmar erstellt?,False,Auguste Préault,DE
Wurde Marceau statue in Chartres im Jahr 1851 fertiggestellt?,True,1851,DE
Wurde Buste de Georges de Villebois-Mareuil von Fuad Abdurachmanow erstellt?,False,Raoul Verlet,DE
Wurde Buste de Georges de Villebois-Mareuil im Jahr 1901 fertiggestellt?,True,1901,DE
Wurde La Sasson von Alexandre Falguière erstellt?,True,Alexandre Falguière,DE
Wurde La Sasson im Jahr 1892 fertiggestellt?,True,1892,DE
Wurde Statue de Masséna von Jan Styka erstellt?,False,Albert-Ernest Carrier-Belleuse,DE
Wurde Statue de Masséna im Jahr 1867 fertiggestellt?,True,1867,DE
Wurde Column to Armed Peace von Rolf Hochhuth erstellt?,False,Jules Coutan,DE
Wurde Column to Armed Peace im Jahr 2008 fertiggestellt?,False,1887,DE
Wurde Monument Étienne-Jules Marey von Französisch-Indochina erstellt?,False,Henri Bouchard,DE
Wurde Monument Étienne-Jules Marey im Jahr 1815 fertiggestellt?,False,1911,DE
Wurde monument fontaine à Jean-Pierre Pléney von Abraham Hirsch erstellt?,True,Abraham Hirsch,DE
Wurde monument fontaine à Jean-Pierre Pléney im Jahr 1875 fertiggestellt?,False,1896,DE
Wurde Monument au Pigeon Voyageur von Julio González Pola erstellt?,False,Alexandre Descatoire,DE
Wurde Monument au Pigeon Voyageur im Jahr 1822 fertiggestellt?,False,1936,DE
Wurde Monument aux Girondins (Bordeaux) von Alphonse Dumilatre erstellt?,True,Alphonse Dumilatre,DE
Wurde Monument aux Girondins (Bordeaux) im Jahr 1902 fertiggestellt?,True,1902,DE
Wurde Main entrance of the 1900 Paris Exhibition von Anatole Guillot erstellt?,True,Anatole Guillot,DE
Wurde Main entrance of the 1900 Paris Exhibition im Jahr 2007 fertiggestellt?,False,1900,DE
"Wurde Monument à Pasteur, Chartres von Jan van Luijn erstellt?",False,Paul Richer,DE
"Wurde Monument à Pasteur, Chartres im Jahr 1903 fertiggestellt?",True,1903,DE
"Wurde Monument à Noël Ballay, Chartres von Hans Arnold erstellt?",False,Henri Allouard,DE
"Wurde Monument à Noël Ballay, Chartres im Jahr 1904 fertiggestellt?",True,1904,DE
Wurde La Ville d'Arbois à Pasteur von Horace Daillion erstellt?,True,Horace Daillion,DE
Wurde La Ville d'Arbois à Pasteur im Jahr 1901 fertiggestellt?,True,1901,DE
Wurde Mort Homme Memorial von Jacques Froment-Meurice erstellt?,True,Jacques Froment-Meurice,DE
Wurde Mort Homme Memorial im Jahr 1939 fertiggestellt?,False,1922,DE
Wurde Statue of René Castel von Jean Baptiste Joseph Debay erstellt?,True,Jean Baptiste Joseph Debay,DE
Wurde Statue of René Castel im Jahr 1835 fertiggestellt?,True,1835,DE
Wurde monument to Henri Pourrat von Florian Abramovitsj Kotsjubinskiy erstellt?,False,Jean Chauchard,DE
Wurde monument to Henri Pourrat im Jahr 0450 fertiggestellt?,False,1975,DE
Wurde Buchenwald-Dora memorial von Bernhard Heiliger erstellt?,False,Louis Bancel,DE
Wurde Buchenwald-Dora memorial im Jahr 1964 fertiggestellt?,True,1964,DE
Wurde Statue of Pierre Daumesnil von Louis Rochet erstellt?,True,Louis Rochet,DE
Wurde Statue of Pierre Daumesnil im Jahr 1873 fertiggestellt?,True,1873,DE
Wurde Monument der Marchand Expedition von Roger-Henri Expert erstellt?,True,Roger-Henri Expert,DE
Wurde Monument der Marchand Expedition im Jahr 1410 fertiggestellt?,False,1934,DE
Wurde Buna-Monowitz-Auschwitz III memorial von Ilya Shanin erstellt?,False,Tim,DE
Wurde Buna-Monowitz-Auschwitz III memorial im Jahr 1993 fertiggestellt?,True,1993,DE
Wurde Ravensbrück memorial von Alfred Gilbert erstellt?,False,Émile Morlaix,DE
Wurde Ravensbrück memorial im Jahr 1950 fertiggestellt?,False,1949,DE
Wurde Statue of André-Marie Ampère in place Ampère von Charles Textor erstellt?,True,Charles Textor,DE
Wurde Statue of André-Marie Ampère in place Ampère im Jahr 1888 fertiggestellt?,True,1888,DE
Wurde Henry Murger von Henri Théophile Bouillon erstellt?,True,Henri Théophile Bouillon,DE
Wurde Henry Murger im Jahr 1895 fertiggestellt?,True,1895,DE
Wurde Monument to Victor Considerant von Ghukas Chubaryan erstellt?,False,Marguerite Syamour,DE
Wurde Monument to Victor Considerant im Jahr 0886 fertiggestellt?,False,1901,DE
Wurde monument to Komitas von Sándor Mikus erstellt?,False,David Erevantzi,DE
Wurde monument to Komitas im Jahr 2003 fertiggestellt?,True,2003,DE
Wurde Armenian Genocide Memorial in Issy-les-Moulineaux von David Erevantzi erstellt?,True,David Erevantzi,DE
Wurde Armenian Genocide Memorial in Issy-les-Moulineaux im Jahr 1982 fertiggestellt?,True,1982,DE
Wurde Monument to Jean Macé von Albert David erstellt?,True,Albert David,DE
Wurde Monument to Jean Macé im Jahr 1961 fertiggestellt?,True,1961,DE
Wurde Mémorial du génocide arménien de Décines-Charpieu von Erdmann Encke erstellt?,False,Robert Darnas,DE
Wurde Mémorial du génocide arménien de Décines-Charpieu im Jahr 1700 fertiggestellt?,False,1972,DE
Wurde Fondation suisse von Le Corbusier erstellt?,True,Le Corbusier,DE
Wurde Fondation suisse im Jahr 1933 fertiggestellt?,True,1933,DE
Wurde Monument à Henri Regnault von Charles Degeorge erstellt?,True,Charles Degeorge,DE
Wurde Monument à Henri Regnault im Jahr 1876 fertiggestellt?,True,1876,DE
Wurde Tombeau d'Henry Bataille von Levon Ghalumyan erstellt?,False,François Pompon,DE
Wurde Tombeau d'Henry Bataille im Jahr 1922 fertiggestellt?,True,1922,DE
Wurde Monument à Jean-Félix Bapterosses von Henri Michel Chapu erstellt?,True,Henri Michel Chapu,DE
Wurde Monument à Jean-Félix Bapterosses im Jahr 1897 fertiggestellt?,True,1897,DE
Wurde Equestrian statue of Napoléon in Lyon von Alfred Émilien de Nieuwerkerke erstellt?,True,Alfred Émilien de Nieuwerkerke,DE
Wurde Equestrian statue of Napoléon in Lyon im Jahr 1745 fertiggestellt?,False,1852,DE
Wurde Monument to Général Cler von Ioulian Roukavichnikov erstellt?,False,Jean-Joseph Perraud,DE
Wurde Monument to Général Cler im Jahr 1855 fertiggestellt?,False,1864,DE
Wurde La Convention nationale von Fritz Schaper erstellt?,False,Francois Leon Sicard,DE
Wurde La Convention nationale im Jahr 1913 fertiggestellt?,True,1913,DE
Wurde monument to Regnault de Segrais von Andrea Guardi erstellt?,False,Eugène Bénet,DE
Wurde monument to Regnault de Segrais im Jahr 1911 fertiggestellt?,True,1911,DE
Wurde Monument dedicated to the Entente Cordiale von Gustave Violet erstellt?,True,Gustave Violet,DE
Wurde Monument dedicated to the Entente Cordiale im Jahr 1914 fertiggestellt?,True,1914,DE
Wurde Monument to Oscar Auriac and Jean Auriac von Charles Marie Louis Joseph Sarrabezolles erstellt?,True,Charles Marie Louis Joseph Sarrabezolles,DE
Wurde Monument to Oscar Auriac and Jean Auriac im Jahr 1985 fertiggestellt?,False,1950,DE
Wurde Monument to Léon Boyer von Weniamin Jakowlewitsch Bogoljubow erstellt?,False,Denys Puech,DE
Wurde Monument to Léon Boyer im Jahr 1889 fertiggestellt?,True,1889,DE
Wurde Danton von Edmond Desca erstellt?,True,Edmond Desca,DE
Wurde Danton im Jahr 1903 fertiggestellt?,True,1903,DE
Wurde Monument to Gasprd de Coligny von Gustave Crauck erstellt?,True,Gustave Crauck,DE
